Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
29.5,0.4979166666666667,1.0,71.0,88.0,23.034195011337868,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,5.742518511337867,0.0006433997874155,0.091647758637933,F
30.0,0.9979166666666668,1.0,70.0,88.0,23.2431746031746,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,5.743164603174602,0.0012894916241508,0.0755014463955901,P
30.0,0.4979166666666667,1.0,70.0,88.0,23.2431746031746,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,5.743164603174602,0.000643399787419,0.088017587387439,P
30.5,0.4979166666666667,1.0,71.0,88.0,23.45215419501134,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.743810695011341,0.0006433997874119,0.0605188468892588,P
31.0,0.9979166666666668,1.0,71.0,88.0,23.661133786848072,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,5.7444567868480725,0.0012894916241437,0.1217719613804118,F
31.0,0.4979166666666667,1.0,71.0,88.0,23.661133786848072,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.7444567868480725,0.0006433997874119,0.1496383291351773,F
31.5,0.4979166666666667,1.0,71.0,88.0,23.87011337868481,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,5.745102878684804,0.000643399787419,0.0855022609770732,P
32.0,3.997916666666667,1.0,52.0,88.0,24.079092970521543,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,5.745748970521543,0.0051660426445623,0.1216416093232457,F
32.5,0.4979166666666667,1.0,71.0,88.0,24.28807256235828,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.746395062358278,0.0006433997874119,0.0948467836053083,F
33.0,0.9979166666666668,1.0,74.0,88.0,24.49705215419501,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,5.74704115419501,0.0012894916241437,0.1051454314214855,F
33.0,0.4979166666666667,1.0,74.0,88.0,24.49705215419501,0.3237248677248642,4/4,4,4,1,G,major,92.28515625000098,5.74704115419501,0.1162594239748642,0.1100826272564745,F
33.5,0.4979166666666667,1.0,71.0,88.0,24.82213151927437,0.2081088435374226,4/4,4,4,1,G,major,143.5546874999947,5.863787019274373,0.0006433997874226,0.1027628705837106,F
34.0,0.9979166666666668,1.0,73.0,88.0,25.031111111111112,0.417088435374165,4/4,4,4,1,G,major,143.5546874999947,5.864433111111115,0.001289491624165,0.102923525634924,F
34.0,0.4979166666666667,1.0,73.0,88.0,25.031111111111112,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.864433111111115,0.0006433997874119,0.1085443800942257,F
34.5,0.4979166666666667,1.0,71.0,88.0,25.24009070294785,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.865079202947847,0.0006433997874119,0.096918206785554,F
35.0,0.9979166666666668,1.0,72.0,88.0,25.44907029478458,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,5.865725294784578,0.0012894916241437,0.1510283261101861,F
35.0,0.4979166666666667,1.0,72.0,88.0,25.44907029478458,0.3468480725623628,4/4,4,4,1,G,major,86.13281249999888,5.865725294784578,0.1393826288123627,0.1602845350194323,F
35.5,0.4979166666666667,1.0,71.0,88.0,25.797369614512476,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.005691114512473,0.0006433997874155,0.1205309801242381,F
36.0,3.997916666666667,1.0,57.0,88.0,26.006349206349206,1.670965986394534,4/4,4,4,1,G,major,143.55468750000205,6.006337206349208,0.0051660426445339,0.1256300304486318,F
36.5,0.4979166666666667,1.0,76.0,88.0,26.21532879818594,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.00698329818594,0.0006433997874155,0.1458731864055042,F
37.0,0.9979166666666668,1.0,72.0,88.0,26.42430839002268,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,6.007629390022675,0.0012894916241508,0.1330148799808162,F
37.0,0.4979166666666667,1.0,72.0,88.0,26.42430839002268,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.007629390022675,0.0006433997874155,0.1587210617952907,F
37.5,0.4979166666666667,1.0,76.0,88.0,26.63328798185941,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.00827548185941,0.0006433997874155,0.1012450799190225,F
38.0,0.9979166666666668,1.0,71.0,88.0,26.842267573696144,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,6.008921573696146,0.0012894916241508,0.1001682955382306,F
38.0,0.4979166666666667,1.0,71.0,88.0,26.842267573696144,0.3699712773998458,4/4,4,4,1,G,major,80.74951171875065,6.008921573696146,0.1625058336498458,0.1035030166935932,F
38.5,0.4979166666666667,1.0,76.0,88.0,27.21378684807256,0.2312320483749085,4/4,4,4,1,G,major,129.19921874999832,6.1721073480725615,0.0237666046249085,0.1396227131378972,F
39.0,0.9979166666666668,1.0,72.0,88.0,27.445986394557824,0.4634315948601722,4/4,4,4,1,G,major,129.19921874999832,6.195973394557825,0.0476326511101722,0.1162776573441457,F
39.0,0.4979166666666667,1.0,72.0,88.0,27.445986394557824,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,6.195973394557825,0.0006433997874119,0.1278386484468836,F
39.5,0.4979166666666667,1.0,76.0,88.0,27.65496598639456,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.196619486394557,0.0006433997874155,0.1070439493604218,F
40.0,3.997916666666667,1.0,57.0,88.0,27.86394557823129,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,6.197265578231292,0.0051660426445623,0.0794858795097759,P
40.5,0.4979166666666667,1.0,76.0,83.0,28.07292517006803,0.2081088435374155,4/4,4,4,1,G,major,143.5546874999996,6.197911670068027,0.0006433997874155,0.1148849350189286,F
