Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
22.0,0.4979166666666667,1.0,70.0,88.0,18.06512471655329,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.8984507165532882,0.0006433997874137343,0.13077197821430392
22.5,0.4979166666666667,1.0,71.0,88.0,18.274104308390022,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.8990968083900217,0.0006433997874137343,0.10798861596850519
23.0,0.9979166666666667,1.0,71.0,88.0,18.483083900226756,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,3.899742900226755,0.0012894916241472099,0.08516538921178081
23.0,0.4979166666666667,1.0,71.0,88.0,18.483083900226756,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,3.899742900226755,0.0006433997874190911,0.08440677015167881
23.5,0.4979166666666667,1.0,71.0,88.0,18.692063492063493,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,3.900388992063494,-0.02247980505007549,0.0854151802054616
24.0,3.997916666666667,1.0,52.0,88.0,18.877823129251702,0.5569886621315161,4/4,4,4,1,G,major,430.66406250000244,3.8778151292517027,-1.108811281618484,0.09757638443106614
24.5,0.4979166666666667,1.0,71.0,88.0,18.94748299319728,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.7391414931972804,0.0006433997874137343,0.08376794059558683
25.0,0.9979166666666667,1.0,70.0,88.0,19.156462585034014,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,3.739787585034014,0.0012894916241472099,0.11370822257708649
25.0,0.4979166666666667,1.0,70.0,88.0,19.156462585034014,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.739787585034014,0.0006433997874137343,0.10497041273356936
25.5,0.4979166666666667,1.0,71.0,88.0,19.365442176870747,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,3.7404336768707473,0.000643399787417287,0.12203256270326618
26.0,0.9979166666666667,1.0,69.0,88.0,19.574421768707484,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,3.7410797687074844,0.0012894916241543153,0.11580796647997924
26.0,0.4979166666666667,1.0,69.0,88.0,19.574421768707484,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,3.7410797687074844,0.0006433997874137343,0.10249877463768346
26.5,0.4979166666666667,1.0,71.0,88.0,19.783401360544218,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.741725860544218,0.0006433997874155384,0.12764829582250883
27.0,0.9979166666666667,1.0,67.0,88.0,19.99238095238095,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,3.742371952380953,0.001289491624150818,0.1131243864029939
27.0,0.4979166666666667,1.0,67.0,88.0,19.99238095238095,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.742371952380953,0.0006433997874119857,0.121327520697849
27.5,0.4979166666666667,1.0,71.0,88.0,20.201360544217685,0.1618624338624339,4/4,4,4,1,G,major,184.57031249999994,3.743018044217685,-0.045603009887566104,0.10594522789687578
28.0,3.997916666666667,1.0,52.0,88.0,20.36390022675737,0.7426515495087134,4/4,4,4,1,G,major,322.9980468749909,3.697224226757367,-0.9231483942412868,0.09327423725339092
28.5,0.4979166666666667,1.0,71.0,88.0,20.456780045351476,0.13873922902494368,4/4,4,4,1,G,major,215.33203124999943,3.5817705453514748,-0.06872621472505633,0.0864313853956812
29.0,0.9979166666666667,1.0,71.0,88.0,20.59609977324263,0.2780589569161005,4/4,4,4,1,G,major,215.33203124999943,3.512756773242632,-0.13773998683389949,0.07627277301322395
29.0,0.4979166666666667,1.0,71.0,88.0,20.59609977324263,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.512756773242632,0.0006433997874119857,0.07413911818122568
29.5,0.4979166666666667,1.0,71.0,88.0,20.805079365079365,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,3.513402865079364,0.0006433997874155384,0.09104064287207762
30.0,0.9979166666666667,1.0,70.0,88.0,21.0140589569161,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,3.514048956916099,0.001289491624150818,0.1303796257695724
30.0,0.4979166666666667,1.0,70.0,88.0,21.0140589569161,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,3.514048956916099,0.0006433997874190911,0.14669723822173894
30.5,0.4979166666666667,1.0,71.0,88.0,21.223038548752836,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,3.514695048752838,0.0006433997874119857,0.11191199084382387
31.0,0.9979166666666667,1.0,71.0,88.0,21.43201814058957,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,3.5153411405895696,0.0012894916241437127,0.09155943479052171
