Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
23.0,0.4979166666666667,1.0,71.0,88.0,16.439727891156462,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.8563868911564612,0.0006433997874155384,0.04344319611990477
23.5,0.4979166666666667,1.0,71.0,88.0,16.648707482993196,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,1.8570329829931964,-0.02247980505007549,0.04148635573501135
24.0,3.997916666666667,1.0,52.0,88.0,16.834467120181404,1.6709659863945767,4/4,4,4,1,G,major,143.55468749999838,1.8344591201814051,0.005166042644576541,0.04086072857784141
24.5,0.4979166666666667,1.0,71.0,88.0,17.04344671201814,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.8351052120181421,0.0006433997874137343,0.026851390321194112
25.0,0.9979166666666667,1.0,70.0,88.0,17.252426303854875,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,1.8357513038548756,0.0012894916241472099,0.04595921172433586
25.0,0.4979166666666667,1.0,70.0,88.0,17.252426303854875,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.8357513038548756,0.0006433997874137343,0.052036113979087494
25.5,0.4979166666666667,1.0,71.0,88.0,17.46140589569161,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,1.836397395691609,0.000643399787417287,0.039049732268830455
26.0,0.9979166666666667,1.0,69.0,88.0,17.670385487528346,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,1.8370434875283461,0.0012894916241543153,0.046455093342251744
26.0,0.4979166666666667,1.0,69.0,88.0,17.670385487528346,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,1.8370434875283461,0.0006433997874137343,0.04840747436601563
26.5,0.4979166666666667,1.0,71.0,88.0,17.87936507936508,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.8376895793650796,0.0006433997874155384,0.04445394997292817
27.0,0.9979166666666667,1.0,67.0,88.0,18.088344671201813,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.8383356712018148,0.001289491624150818,0.03938296425131124
27.0,0.4979166666666667,1.0,67.0,88.0,18.088344671201813,0.18498563869992293,4/4,4,4,1,G,major,161.4990234375013,1.8383356712018148,-0.022479805050077073,0.04607082169196958
27.5,0.4979166666666667,1.0,71.0,88.0,18.274104308390022,0.11561602418745227,4/4,4,4,1,G,major,258.3984375000011,1.8157618083900218,-0.09184941956254773,0.03595021470915074
28.0,3.997916666666667,1.0,52.0,88.0,18.390204081632653,0.742651549508685,4/4,4,4,1,G,major,322.99804687500324,1.7235280816326508,-0.9231483942413152,0.04351037943295868
28.5,0.4979166666666667,1.0,71.0,88.0,18.483083900226756,0.1849856386999261,4/4,4,4,1,G,major,161.49902343749852,1.608074400226755,-0.02247980505007391,0.022050376320461983
29.0,0.9979166666666667,1.0,71.0,88.0,18.668843537414965,0.3707452758881364,4/4,4,4,1,G,major,161.49902343749852,1.5855005374149655,-0.0450536678618636,0.04764124694905716
29.0,0.4979166666666667,1.0,71.0,88.0,18.668843537414965,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5855005374149655,0.0006433997874155384,0.047075947170551545
29.5,0.4979166666666667,1.0,71.0,88.0,18.877823129251702,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5861466292517008,0.0006433997874155384,0.04880472360211083
30.0,0.9979166666666667,1.0,70.0,88.0,19.086802721088436,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.586792721088436,0.001289491624150818,0.0512741593437378
30.0,0.4979166666666667,1.0,70.0,88.0,19.086802721088436,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.586792721088436,0.0006433997874155384,0.06214889291189741
30.5,0.4979166666666667,1.0,71.0,88.0,19.29578231292517,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5874388129251713,0.0006433997874155384,0.03728593181667091
31.0,0.9979166666666667,1.0,71.0,88.0,19.504761904761907,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.5880849047619066,0.001289491624150818,0.04588435257287866
31.0,0.4979166666666667,1.0,71.0,88.0,19.504761904761907,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.5880849047619066,0.0006433997874119857,0.04854368695005868
31.5,0.4979166666666667,1.0,71.0,88.0,19.71374149659864,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5887309965986383,0.0006433997874155384,0.04301971077877492
32.0,3.997916666666667,1.0,52.0,88.0,19.922721088435374,1.4853030990173983,4/4,4,4,1,G,major,161.49902343749852,1.5893770884353735,-0.18049684473260186,0.04901370297273696
32.5,0.4979166666666667,1.0,71.0,88.0,20.108480725623583,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.566803225623584,0.0006433997874119857,0.04570834397389311
33.0,0.9979166666666667,1.0,74.0,88.0,20.317460317460316,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,1.5674493174603157,0.0012894916241437127,0.045946047054900685
33.0,0.4979166666666667,1.0,74.0,88.0,20.317460317460316,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5674493174603157,0.0006433997874155384,0.04527602079914889
33.5,0.4979166666666667,1.0,71.0,88.0,20.526439909297054,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,1.568095409297051,0.0006433997874190911,0.04665659207955823
34.0,0.9979166666666667,1.0,73.0,88.0,20.735419501133787,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,1.5687415011337897,0.0012894916241579235,0.060977054928720555
34.0,0.4979166666666667,1.0,73.0,88.0,20.735419501133787,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.5687415011337897,0.0006433997874119857,0.06274484807368863
34.5,0.4979166666666667,1.0,71.0,88.0,20.94439909297052,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.5693875929705214,0.0006433997874119857,0.059267644706934124
35.0,0.9979166666666667,1.0,72.0,88.0,21.153378684807254,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205,1.5700336848072531,0.0012894916241437127,0.03536131459527759
35.0,0.4979166666666667,1.0,72.0,88.0,21.153378684807254,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,1.5700336848072531,0.0006433997874190911,0.04003123855379303
35.5,0.4979166666666667,1.0,71.0,88.0,21.36235827664399,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.570679776643992,0.0006433997874155384,0.03004821910313285
36.0,3.997916666666667,1.0,57.0,88.0,21.571337868480725,1.670965986394534,4/4,4,4,1,G,major,143.55468750000205,1.5713258684807272,0.005166042644533908,0.06313349326515713
36.5,0.4979166666666667,1.0,76.0,88.0,21.78031746031746,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.571971960317459,0.0006433997874155384,0.035046694533809
37.0,0.9979166666666667,1.0,72.0,88.0,21.989297052154196,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.5726180521541941,0.001289491624150818,0.05999455883996707
37.0,0.4979166666666667,1.0,72.0,88.0,21.989297052154196,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5726180521541941,0.0006433997874155384,0.07183535203717253
37.5,0.4979166666666667,1.0,76.0,88.0,22.19827664399093,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5732641439909294,0.0006433997874155384,0.045218871216962706
38.0,0.9979166666666667,1.0,71.0,88.0,22.407256235827663,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.5739102358276646,0.001289491624150818,0.057976845964565996
38.0,0.4979166666666667,1.0,71.0,88.0,22.407256235827663,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5739102358276646,0.0006433997874155384,0.06342663024860774
38.5,0.4979166666666667,1.0,76.0,88.0,22.6162358276644,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5745563276644,0.0006433997874155384,0.052078180757198944
39.0,0.9979166666666667,1.0,72.0,88.0,22.825215419501134,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.5752024195011352,0.001289491624150818,0.07493565907503873
39.0,0.4979166666666667,1.0,72.0,88.0,22.825215419501134,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,1.5752024195011352,0.0006433997874119857,0.06837200533456352
39.5,0.4979166666666667,1.0,76.0,88.0,23.034195011337868,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.5758485113378669,0.0006433997874155384,0.08102970725716255
40.0,3.997916666666667,1.0,57.0,88.0,23.2431746031746,0.5569886621315397,4/4,4,4,1,G,major,430.6640624999842,1.576494603174602,-1.1088112816184603,0.05282301786852653
40.5,0.4979166666666667,1.0,76.0,83.0,23.312834467120183,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,1.4378209671201816,0.0006433997874155384,0.03923332285487712
41.0,0.9979166666666667,1.0,76.0,77.0,23.521814058956917,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.4384670589569168,0.001289491624150818,0.05426714150216193
