Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
22.5,0.4979166666666667,1.0,71.0,88.0,19.667301587301587,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.2922940873015865,0.0006433997874137343
23.0,0.9979166666666667,1.0,71.0,88.0,19.87628117913832,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.29294017913832,0.0012894916241472099
23.0,0.4979166666666667,1.0,71.0,88.0,19.87628117913832,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,5.29294017913832,0.0006433997874190911
23.5,0.4979166666666667,1.0,71.0,88.0,20.085260770975058,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,5.293586270975059,-0.02247980505007549
24.0,3.997916666666667,1.0,52.0,88.0,20.271020408163267,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,5.271012408163267,0.005166042644547897
24.5,0.4979166666666667,1.0,71.0,88.0,20.48,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.271658500000001,0.0006433997874137343
25.0,0.9979166666666667,1.0,70.0,88.0,20.688979591836734,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.272304591836734,0.0012894916241472099
25.0,0.4979166666666667,1.0,70.0,88.0,20.688979591836734,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.272304591836734,0.0006433997874137343
25.5,0.4979166666666667,1.0,71.0,88.0,20.897959183673468,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,5.272950683673468,0.000643399787417287
26.0,0.9979166666666667,1.0,69.0,88.0,21.106938775510205,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,5.273596775510205,0.0012894916241543153
26.0,0.4979166666666667,1.0,69.0,88.0,21.106938775510205,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,5.273596775510205,0.0006433997874137343
26.5,0.4979166666666667,1.0,71.0,88.0,21.31591836734694,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,5.274242867346938,0.0006433997874155384
27.0,0.9979166666666667,1.0,67.0,88.0,21.524897959183672,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,5.274888959183674,0.001289491624150818
27.0,0.4979166666666667,1.0,67.0,88.0,21.524897959183672,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,5.274888959183674,0.0006433997874155384
27.5,0.4979166666666667,1.0,71.0,88.0,21.73387755102041,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205,5.275535051020409,0.0006433997874119857
28.0,3.997916666666667,1.0,52.0,88.0,21.942857142857143,1.1139773242630417,4/4,4,4,1,G,major,215.33203124999937,5.276181142857141,-0.5518226194869584
28.5,0.4979166666666667,1.0,71.0,88.0,22.0821768707483,0.046246409674982406,4/4,4,4,1,G,major,645.9960937499818,5.207167370748298,-0.1612190340750176
29.0,0.9979166666666667,1.0,71.0,88.0,22.128616780045352,0.09268631897203587,4/4,4,4,1,G,major,645.9960937499818,5.045273780045353,-0.3231126247779641
29.0,0.4979166666666667,1.0,71.0,88.0,22.128616780045352,0.0924928193499597,4/4,4,4,1,G,major,322.99804687500875,5.045273780045353,-0.1149726244000403
29.5,0.4979166666666667,1.0,71.0,88.0,22.221496598639455,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716,4.929820098639453,0.0006433997874190911
30.0,0.9979166666666667,1.0,70.0,88.0,22.430476190476192,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972,4.930466190476192,0.0012894916241579235
30.0,0.4979166666666667,1.0,70.0,88.0,22.430476190476192,0.1156160241874507,4/4,4,4,1,G,major,258.3984375000046,4.930466190476192,-0.0918494195625493
30.5,0.4979166666666667,1.0,71.0,88.0,22.54657596371882,0.18498563869992293,4/4,4,4,1,G,major,161.4990234375013,4.838232463718821,-0.022479805050077073
31.0,0.9979166666666667,1.0,71.0,88.0,22.732335600907028,0.37074527588813005,4/4,4,4,1,G,major,161.4990234375013,4.815658600907028,-0.04505366786186993
